epoch,reward,average_100_reward
0.0,71.571724,71.571724
1.0,55.633926,63.602825
2.0,84.67265,70.62611
3.0,108.52052,80.09971
4.0,55.176815,75.11513
5.0,61.88399,72.90994
6.0,80.266815,73.96092
7.0,65.375244,72.88771
8.0,59.088326,71.35445
9.0,76.43999,71.863
10.0,56.700924,70.48463
11.0,71.75375,70.59039
12.0,56.648163,69.517914
13.0,60.777557,68.8936
14.0,66.10598,68.707756
15.0,56.655952,67.95452
16.0,36.664948,66.11396
17.0,60.59412,65.807304
18.0,90.11992,67.086914
19.0,70.463394,67.25574
20.0,53.540775,66.602646
21.0,61.013268,66.34858
22.0,67.51546,66.399315
23.0,62.12639,66.221275
24.0,64.96802,66.17114
25.0,77.63516,66.61207
26.0,50.511543,66.015755
27.0,51.346382,65.491844
28.0,62.464417,65.38745
29.0,69.12947,65.512184
30.0,57.29081,65.24698
31.0,53.87282,64.89154
32.0,58.164795,64.6877
33.0,46.509857,64.15305
34.0,59.818913,64.02922
35.0,77.834816,64.41271
36.0,60.0277,64.2942
37.0,90.41053,64.98147
38.0,87.14305,65.54971
39.0,58.959053,65.38495
40.0,76.529495,65.65677
41.0,89.619484,66.22731
42.0,62.892532,66.14976
43.0,64.689644,66.11657
44.0,55.831894,65.88802
45.0,57.236683,65.69995
46.0,60.144894,65.58176
47.0,49.333702,65.243256
48.0,76.16335,65.46612
49.0,66.044846,65.47769
50.0,72.72432,65.61978
51.0,60.8838,65.5287
52.0,55.248646,65.33474
53.0,63.656136,65.30366
54.0,49.09018,65.008865
55.0,82.98096,65.329796
56.0,61.42654,65.261314
57.0,67.3676,65.29763
58.0,82.966835,65.59711
59.0,62.737892,65.54945
60.0,89.74928,65.946175
61.0,82.81502,66.218254
62.0,82.69172,66.47974
63.0,59.488087,66.37049
64.0,52.610344,66.1588
65.0,65.52964,66.14926
66.0,97.90329,66.62321
67.0,73.87587,66.72986
68.0,54.387943,66.550995
69.0,87.55081,66.85099
70.0,53.771564,66.66677
71.0,67.94015,66.68446
72.0,81.68476,66.889946
73.0,48.422997,66.64039
74.0,70.52868,66.69223
75.0,80.858284,66.87863
76.0,103.62191,67.35581
77.0,61.903355,67.28591
78.0,57.646442,67.163895
79.0,61.68206,67.09537
80.0,72.58919,67.16319
81.0,85.30861,67.38448
82.0,62.384327,67.324234
83.0,72.690254,67.388115
84.0,92.13084,67.67921
85.0,58.955856,67.577774
86.0,55.886204,67.44339
87.0,51.11527,67.25784
88.0,58.02417,67.15409
89.0,70.39108,67.19006
90.0,88.50097,67.42425
91.0,66.5907,67.415184
92.0,63.44615,67.372505
93.0,57.66375,67.269226
94.0,56.925205,67.16034
95.0,56.57093,67.05003
96.0,88.60213,67.27222
97.0,59.76772,67.19564
98.0,56.26955,67.08528
99.0,64.49653,67.05939
100.0,96.241714,67.30609
101.0,67.045845,67.42021
102.0,54.936367,67.12285
103.0,45.33571,66.491
104.0,66.53695,66.6046
105.0,64.4698,66.630455
106.0,60.078846,66.42858
107.0,50.73946,66.28222
108.0,65.653496,66.34787
109.0,55.105457,66.13453
110.0,51.39311,66.08145
111.0,41.878723,65.7827
112.0,65.58456,65.87206
113.0,66.714874,65.931435
114.0,60.71198,65.877495
115.0,47.05678,65.7815
116.0,65.718,66.07204
117.0,68.426994,66.15036
118.0,59.644695,65.84561
119.0,48.120613,65.622185
120.0,65.8545,65.74532
121.0,62.796795,65.76315
122.0,59.513863,65.683136
123.0,47.368732,65.53556
124.0,68.3884,65.56976
125.0,64.45363,65.43795
126.0,55.620308,65.48904
127.0,45.530876,65.430885
128.0,65.83134,65.464554
129.0,69.409164,65.46735
130.0,60.492508,65.49937
131.0,46.34007,65.42404
132.0,68.342186,65.52581
133.0,65.02254,65.71094
134.0,61.51321,65.72788
135.0,52.042667,65.46996
136.0,66.08792,65.53056
137.0,66.1134,65.28759
138.0,60.71455,65.02331
139.0,52.041706,64.95413
140.0,65.77376,64.84657
141.0,66.339584,64.61378
142.0,61.452667,64.59938
143.0,52.04086,64.47289
144.0,65.85561,64.57313
145.0,64.481964,64.645584
146.0,64.27802,64.68691
147.0,51.9086,64.71266
148.0,65.861946,64.60965
149.0,68.18753,64.63107
150.0,64.10819,64.544914
151.0,51.864,64.45471
152.0,67.9084,64.581314
153.0,66.36767,64.60843
154.0,64.50257,64.76255
155.0,51.811317,64.45085
156.0,66.22503,64.49884
157.0,66.04666,64.485634
158.0,65.15791,64.30754
159.0,51.90931,64.19926
160.0,67.96824,63.981445
161.0,64.08617,63.794155
162.0,63.383987,63.601078
163.0,47.57997,63.482
164.0,67.90864,63.63498
165.0,68.338875,63.663074
166.0,61.706997,63.30111
167.0,47.669674,63.039047
168.0,67.96824,63.17485
169.0,66.51199,62.964462
170.0,65.63383,63.083084
171.0,45.64556,62.86014
172.0,68.064224,62.723934
173.0,66.152855,62.901234
174.0,61.942703,62.815372
175.0,44.645775,62.453247
176.0,68.30803,62.10011
177.0,66.74029,62.14848
178.0,60.551907,62.177532
179.0,52.760643,62.088318
180.0,67.45827,62.03701
181.0,67.27938,61.856716
182.0,55.58728,61.788746
183.0,50.590004,61.567745
184.0,64.54563,61.291893
185.0,65.67635,61.359097
186.0,54.488853,61.345123
187.0,45.01682,61.28414
188.0,64.36741,61.347572
189.0,64.16716,61.28533
190.0,54.520317,60.945526
191.0,49.74758,60.777096
192.0,64.131905,60.783955
193.0,66.30284,60.870342
194.0,54.240654,60.8435
195.0,49.937214,60.77716
196.0,64.16575,60.5328
197.0,66.71209,60.60224
198.0,55.42007,60.593746
199.0,48.719147,60.435974
200.0,60.9268,60.082825
201.0,67.21132,60.084476
202.0,71.017914,60.245293
203.0,63.001705,60.421955
204.0,85.04765,60.60706
205.0,54.77106,60.510075
206.0,75.55551,60.66484
207.0,66.34821,60.820927
208.0,77.479065,60.939182
209.0,54.202927,60.930157
210.0,72.78292,61.144054
211.0,62.388783,61.349155
212.0,76.46597,61.45797
213.0,65.78002,61.448624
214.0,73.64437,61.577946
215.0,60.326046,61.71064
216.0,79.4274,61.847733
217.0,65.866356,61.822124
218.0,77.16935,61.99737
219.0,55.82216,62.074387
220.0,66.899796,62.084843
221.0,60.205368,62.058926
222.0,79.38461,62.257633
223.0,66.10933,62.44504
224.0,78.00328,62.541187
225.0,59.395958,62.490612
